index	Title	Location	Company	Synopsis	Link
117	Research Assistant in Economics	University Park, PA	Penn State University	With at least a Master's degree or currently enrolled in a masters program.	https://www.indeed.com/rc/clk?jk=e42be8dbe6a4735e&fccid=ee32437d8dec00bd&vjs=3
118	Scientific Research Assistant	Pasadena, CA 91125 (South area)	California Institute of Technology	Ph.D. in geochemistry and at least 2 years of relevant postdoctoral research training.	https://www.indeed.com/rc/clk?jk=ad989a34622a8607&fccid=3f13ab783077a3af&vjs=3
119	Research Associate - Center for Educational Freedom	Washington, DC 20001 (Downtown area)	Cato Institute	Methods of research and effective policy analysis.	https://www.indeed.com/rc/clk?jk=f719ad8651bb17d7&fccid=d1e2d1178f64beb3&vjs=3
120	Project Research Assistant I	Johnston, RI 02919	UnitedHealth Group	Knowledge of survey research and survey development.	https://www.indeed.com/rc/clk?jk=2df028a05964c17f&fccid=d3d3520998346837&vjs=3
121	Research Assistant for (WAB)	Bladensburg, MD	The Africa Center for Strategic Progress	The Research Assistant will conduct online research, and analysis, gather information from various news sources and assist in drafting two major publications at…	https://www.indeed.com/rc/clk?jk=129a58787aa3d27b&fccid=c5e82b682b93e4db&vjs=3
122	Research Assistant - ENT	Columbus, OH 43205 (Livingston Park North area)	Nationwide Children's Hospital	Orders supplies needed to conduct research; maintains inventory of equipment and supplies; and assures that research equipment is in good working order.	https://www.indeed.com/rc/clk?jk=2b13af0b5e32b599&fccid=54ea2668f5f1eee5&vjs=3
123	Policy and Research Associate	Cambridge, MA (MIT area)	MIT	REQUIRED: bachelor’s degree in economics, public policy, statistics, or a closely related field; training in statistics and quantitative methods; and two years…	https://www.indeed.com/rc/clk?jk=d240077d4bdbf630&fccid=71cf745ec1b3aae4&vjs=3
124	Work Study MO KCOM Research Assistant - Physiology	Kirksville, MO	A.T. Still Univ of Health Sciences-PRN	None	https://www.indeed.com/rc/clk?jk=89e5e438684fb8cd&fccid=5a39817401a50585&vjs=3
125	Research Assistant, Lee Lab	Foggy Bottom, DC	George Washington University	This research support position contributes to research/development by assisting with experiments in a controlled laboratory setting.	https://www.indeed.com/rc/clk?jk=c873efa878aca3ef&fccid=2c3eae37f0ea0cfb&vjs=3
126	Laboratory Assistant	Akron, OH	Summa Health	Performs a limited number of routine laboratory tests and initial sample preparation, collects specimens, distributes samples to work areas, and performs…	https://www.indeed.com/rc/clk?jk=48b425c61eb2fc14&fccid=397003b865028659&vjs=3
127	Clinical Research Assistant	Washington, DC	Children's National Hospital	Reports good faith suspicions of research noncompliance and/or research misconduct to the appropriate institutional compliance office(s).	https://www.indeed.com/rc/clk?jk=8879790e5187c050&fccid=462240b6ade3ccad&vjs=3
128	Research Assistant I/ Research Assistant II - Integrative Bi...	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=13fdbdb4cc497f91&fccid=2259246cd8a35c6c&vjs=3
129	Research Assistant (RA):	New Haven, CT	APT Foundation	The research assistant will report to Drs.	https://www.indeed.com/rc/clk?jk=2446506d33ebc5ff&fccid=ee6c2c84bf3ffee3&vjs=3
130	Lab Services Assistant	Manatí Municipio, PR	JLL	The Lab Glass Wash Technician is responsible of maintain the laboratory glassware clean and organized as per the client expectations.	https://www.indeed.com/rc/clk?jk=6364f2fc307a8fed&fccid=9917de3c28f569f6&vjs=3
131	Institute for Human Development - Research Assistant	Kansas City, MO 64110 (Western 49-63 area)	University of Missouri - Kansas City	The Research Assistant will be responsible for assisting with research and development project activities.	https://www.indeed.com/rc/clk?jk=6a30a9c8f1ff56c8&fccid=da572510034e1dca&vjs=3
132	Assistant Research Scientist	New York, NY 10012 (Greenwich Village area)	New York University	Familiarity with and interest in research on immigrant adolescents a must.	https://www.indeed.com/rc/clk?jk=6ef413998cabef6d&fccid=8077183a161ef0fd&vjs=3
133	Assistant General Counsel - HonorHealth Research Institute	Scottsdale, AZ 85258 (North Scottsdale area)	HonorHealth	Researches a broad range of laws and regulations affecting the organization, including but not limited to federal and state laws and regulations affecting the…	https://www.indeed.com/rc/clk?jk=38798b3e4e47de27&fccid=3608cb33550e3167&vjs=3
134	Staff Research Associate I	San Francisco, CA 94143 (Haight-Ashbury area)	University of California San Francisco	Under direct supervision, the Staff Research Associate will be processing human, piglet, and mouse brain samples.	https://www.indeed.com/rc/clk?jk=49391e8d7d6161c3&fccid=2a341562d64c7cdb&vjs=3
135	Clinical Research Assistant - Rush Westside Community BH	Chicago, IL 60612 (Illinois Medical District area)	Rush University Medical Center	The Research Assistant provides administrative and research support to the Principal Investigator (PI) and other research staff related to research grants and…	https://www.indeed.com/rc/clk?jk=6ae01c02c643c6a1&fccid=67eb1da74a4682e5&vjs=3
136	Research Assistant	Syracuse, NY	SUNY Upstate Medical University	Participation in lab meeting and other research activities.	https://www.indeed.com/rc/clk?jk=e13a38e0537b50a0&fccid=4b5be9cd2f65a05b&vjs=3
137	Research Assistant, Environmental and Public Health Sciences	Cincinnati, OH	University of Cincinnati	The UC Department of Environmental and Public Health Sciences is in need of a research assistant that will apply professional knowledge, skills, and training to…	https://www.indeed.com/rc/clk?jk=fc84df19de9cc46b&fccid=b951826e4b51d8ab&vjs=3
138	Research Assistant I / 40 Hours / Day / BWH - Gastroenterolo...	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	The assistant must conduct all study related activities according to IACUC and potentially IRB guidelines.	https://www.indeed.com/rc/clk?jk=208d24bfdf58e79f&fccid=053c0caee91baa24&vjs=3
139	Research Assistant Bench -Neurology	Houston, TX	Houston Methodist	The Yun laboratory is willing to train (research lab) experienced research assistant with a minimum two-year commitment.	https://www.indeed.com/rc/clk?jk=48cbe9d0555e1aaf&fccid=1fc7fdf0baeeb13b&vjs=3
140	Research Assistant – Jessica Zhang Lab - Mechanical Engineer...	Pittsburgh, PA 15213 (Squirrel Hill North area)	Carnegie Mellon University	In this role, you will carry out advanced independent and/or directed research to achieve the objectives of the research project.	https://www.indeed.com/rc/clk?jk=32a0245e10c9a28d&fccid=7655fb7543c6cbbf&vjs=3
141	Research Assistant II – Biological Applications of DNA Nanot...	Boston, MA	Harvard University	55 - Hvd Union Cler & Tech Workers.	https://www.indeed.com/rc/clk?jk=73fc8638051e55bd&fccid=5507a64404691526&vjs=3
142	Research Assistant	Wernersville, PA 19565	Caron Treatment Center	Enter data on research databases, such as SPSS.	https://www.indeed.com/rc/clk?jk=9d6ca29f4df52702&fccid=7fc463eb8660b6bf&vjs=3
143	Research Assistant I	Houston, TX 77030 (Medical Center Area area)	Baylor College of Medicine	Designs and conducts research experiments.	https://www.indeed.com/rc/clk?jk=f982773371cd81b9&fccid=5f589639ccd58869&vjs=3
144	Clinical Research Assistant - Houston, TX	Houston, TX 77073	FRESENIUS	Attends clinical research-related training as required.	https://www.indeed.com/rc/clk?jk=deaf5067b581a8d9&fccid=8de1633f2f8eae1d&vjs=3
145	United States International Council on Disabilities: Researc...	Washington, DC	National Consortium on Leadership and Disability f...	Responsibilities may include identifying, adding, and cataloguing material on disability rights for the eGranary digital library; managing information resources…	https://www.indeed.com/rc/clk?jk=c24782d8edf61bc3&fccid=7b09a874e02d6554&vjs=3
146	Research Assistant II	Philadelphia, PA 19104 (University City area)	Drexel University	Minimum of 1 year of laboratory research experience.	https://www.indeed.com/rc/clk?jk=66e5b718b60c9eef&fccid=6336281efb631e9c&vjs=3
147	Research Assistant I / Day/ 40 Hrs Pharmacoepidemiology & Ph...	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	None	https://www.indeed.com/rc/clk?jk=8e92aba113784742&fccid=053c0caee91baa24&vjs=3
148	Clinical Research Assistant III	Milwaukee, WI 53226	Medical College of Wisconsin	Assist clinical research coordinator with data entry.	https://www.indeed.com/rc/clk?jk=1038613f9b5c9a2f&fccid=495c822d6af912f0&vjs=3
149	Research Assistant I/II	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=3e46ea13ad4750dd&fccid=2259246cd8a35c6c&vjs=3
150	Clinical Research Associate, Early Phase Oncology	United States	Parexel	Site Management or equivalent experience in clinical research, with understanding of clinical trials methodology and terminology.	https://www.indeed.com/rc/clk?jk=e565c775943d0c0a&fccid=a2ce486f2a6b8708&vjs=3
151	Research Assistant I/Research Assistant II - Integrative Bio...	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=5e0ab5fc3bbe5057&fccid=2259246cd8a35c6c&vjs=3
152	Temporary - Research Assistant	Princeton, NJ 08542	Princeton University	The Levin research lab is looking for an hourly research assistant to explore the variational free energy modeling efforts of Karl Friston as applied to COVID…	https://www.indeed.com/rc/clk?jk=ff4c602c62ae1ebd&fccid=329dd051ee52db36&vjs=3
153	Research Associate	New York, NY 10065 (Upper East Side area)	The Andrew W. Mellon Foundation	Experience completing and coordinating research projects.	https://www.indeed.com/rc/clk?jk=1a862dd1fcdedc97&fccid=bc77163ba30620b0&vjs=3
154	Senior Research Assistant- Microbiology, Immunology, and Bio...	Memphis, TN	University of Tennessee Health Science Center	(One or more undergraduate research experiences preferred).	https://www.indeed.com/rc/clk?jk=a48de98fb6e9464a&fccid=ac63752c5c8a7e3c&vjs=3
155	Research Assistant I	Nashville, TN	Vanderbilt University Medical Center	This is a full-time opportunity and could lead to future careers in biomedical research and/or medicine.	https://www.indeed.com/rc/clk?jk=0b4f9a01183ea9b9&fccid=9a79b8527fbd5a84&vjs=3
156	Research Assistant I-Neurology	Nashville, TN	Vanderbilt University Medical Center	Provide, under direct supervision, support for specified research projects; collect, assess, and communicate data/results.	https://www.indeed.com/rc/clk?jk=1ef74b357b4e850b&fccid=9a79b8527fbd5a84&vjs=3
157	Research Assistant	Vallejo, CA 94592	Touro University California	This position will support grant activity and other research activity in Dr. Alison McCormick’s lab.	https://www.indeed.com/rc/clk?jk=cbcab8500e092602&fccid=d4094431e0ebc798&vjs=3
158	Research Assistant II - Cell Therapy & Flow Cytometry	Houston, TX 77030 (Medical Center Area area)	MD Anderson Cancer Center	Required: Two years experience in scientific or experimental research work.	https://www.indeed.com/rc/clk?jk=c03a39c6bc3479ac&fccid=ab68ed48b7ae3b5f&vjs=3
159	Research Assistant I	New York, NY 10038 (Financial District area)	GUTTMACHER	Demonstrated interest, coursework or experience in social science or health-related research or service.	https://www.indeed.com/rc/clk?jk=2734caf685458940&fccid=c06b2c7ed767f13a&vjs=3
160	Clinical Research Assistant	Portsmouth, VA	General Dynamics Information Technology	Communicate with research subjects; via telephone or in person and ask relevant research questions as per protocol.	https://www.indeed.com/rc/clk?jk=07a3a3caae74c203&fccid=11caadcdc98800d4&vjs=3
161	Research Assistant	Bethesda, MD	NORC at the University of Chicago	Additional advanced quantitative research skills a plus.	https://www.indeed.com/rc/clk?jk=da55fa0d1caf25d8&fccid=06c2388fc3e54c23&vjs=3
162	Research Assistant	Phoenix, AZ	Phoenix Children's Hospital	Schedules medical procedures/tests necessary for research, including blood draws and imaging studies.	https://www.indeed.com/rc/clk?jk=52510fb3148734c7&fccid=cf64bce8e85b592e&vjs=3
163	Research Assistant I - Dixon Lab	La Jolla, CA	Salk Institute for Biological Studies	Must be willing to work in an animal-related research environment.	https://www.indeed.com/rc/clk?jk=aff4ca5ab54af4ce&fccid=5fecbfa5799d4e18&vjs=3
164	Research Assistant - DEPS Executive Office	Washington, DC	The National Academies	The research assistant updates and maintains databases and files pertaining to report review.	https://www.indeed.com/rc/clk?jk=3917fa27b0510025&fccid=91fc897d5ccdebb0&vjs=3
165	Temporary Research Assistant	New Brunswick, NJ	Rutgers University	Possess effective oral and written communication skills and the ability to publish scientific research papers and articles.	https://www.indeed.com/rc/clk?jk=edfe4cfc81258e96&fccid=39baf972ba156d41&vjs=3
166	Research Assistant	Tuscaloosa, AL 35487 (University area)	The University of Alabama	Job Summary: Performs research work in support of a major research project.	https://www.indeed.com/rc/clk?jk=a82d772948547483&fccid=27eae9b240b82ce9&vjs=3
167	Research Assistant II - Mouse Handling	Houston, TX 77030 (Medical Center Area area)	MD Anderson Cancer Center	Required: Two years experience in scientific or experimental research work.	https://www.indeed.com/rc/clk?jk=608374c29e9c174d&fccid=ab68ed48b7ae3b5f&vjs=3
168	Research Assistant	Minneapolis, MN	University of Minnesota	15% - Recruitment of research participants.	https://www.indeed.com/rc/clk?jk=b3654e7ff2902f50&fccid=5c42f0ed4ae5b712&vjs=3
169	Research Assistant - Clinical	La Jolla, CA 92037	Scripps Health	Coordinates multiple aspects of clinical trials and other human research ensuring compliance with research protocol and IRB requirements.	https://www.indeed.com/rc/clk?jk=eb8645447169a588&fccid=ffdf68a7a61343e5&vjs=3
170	Research Assistant	Louisville, KY 40292 (University area)	University of Louisville	The Research Assistant will support CERID's Medical Writing Unit by working collaboratively and cohesively with faculty and staff to develop scientific…	https://www.indeed.com/rc/clk?jk=cb11cd80538dacd3&fccid=6d4f607d4211af63&vjs=3
171	Communications and Research Assistant	Kirkland, WA	The JAL Foundation	Foundation, as well as to perform other duties customarily required of a communications and research assistant.	https://www.indeed.com/rc/clk?jk=5c386dbbb7c302d3&fccid=de27eb68b12a5997&vjs=3
172	Research Assistant - Health - Maryland and Virginia	Rockville, MD 20852	American Institutes for Research	The Research Assistant will provide support to the HPR staff on a variety of research and operations-related topics to include literature searches, data…	https://www.indeed.com/rc/clk?jk=fe9556b0a6a7fb0c&fccid=f55f2546cfc2349e&vjs=3
173	Research Assistant	Chapel Hill, NC 27599	University of North Carolina at Chapel Hill	The Research Technician will participate in experiment design, data collection, analysis, and interpretation; maintain cell cultures; order, organize, and store…	https://www.indeed.com/rc/clk?jk=7008e33626599d1f&fccid=9a199e21f9f95369&vjs=3
174	Research Assistant	Kenosha, WI 53140 (Carthage area)	Carthage College	The Neuroscience Department at Carthage College is seeking a research assistant to work in the NIH-funded research program of Dr. Steve Henle.	https://www.indeed.com/rc/clk?jk=c75ea9e3614b972c&fccid=ba466c556f59d6e0&vjs=3
175	Full-Time Research Assistant, Baby's First Years	New York, NY 10027 (Morningside Heights area)	Teachers College Columbia University	Trained in basic research methods.	https://www.indeed.com/rc/clk?jk=77a43d6e9dea2196&fccid=bd976cc171c690e0&vjs=3
176	Research Assistant	Richmond, VA 23284 (VCU area)	Virginia Commonwealth University	Coordinating, attending and assisting research team meetings.	https://www.indeed.com/rc/clk?jk=613f25101f99b5ce&fccid=ac45f9b2d193ce8d&vjs=3
177	Lab Assistant- Nampa- Full Time	Nampa, ID	St. Luke's Health System	The Lab Assistant is responsible for the pre-analytical processing of laboratory specimens AND/OR for the procurement and preparation of laboratory specimens…	https://www.indeed.com/rc/clk?jk=866ff6f1f343ce6b&fccid=421ad82d4c4e99a9&vjs=3
178	Clinical Research Assistant I	Boston, MA 02115 (Mission Hill area)	Boston Children's Hospital	Under general supervision, coordinating activities of daily operations of clinical research studies.	https://www.indeed.com/rc/clk?jk=f99763e7bb9d565d&fccid=847fa4d5cb464f5a&vjs=3
179	Research Assistant (Grad) - College of Medicine	Washington, DC 20059 (Columbia Heights area)	Howard University	Collect research data; this may be through a variety of research methods, such as scientific experimentation, literature reviews, and research interviews.	https://www.indeed.com/rc/clk?jk=e9553f3cf653ead8&fccid=a5edbecada1117a2&vjs=3
180	DPS Clinical Research Assistant I	Duarte, CA 91010	City of Hope	Assists in training and mentoring new clinical research staff members.	https://www.indeed.com/rc/clk?jk=52624e8e07e46028&fccid=e4c4ad85ebf29819&vjs=3
181	Research Assistant - Anesthesiology	St. Louis, MO 63130	Washington University in St. Louis	Conducts research experiments and assays.	https://www.indeed.com/rc/clk?jk=ed64170e36883d4e&fccid=d9d52566d47ab815&vjs=3
182	Research Assistant III - Human Bone Marrow	Boston, MA	Harvard University	55 - Hvd Union Cler & Tech Workers.	https://www.indeed.com/rc/clk?jk=77dcc8f9ceec0302&fccid=5507a64404691526&vjs=3
183	Lab Assistant	Concord, CA	John Muir Health	Responsible for receiving and processing specimens prior to testing.	https://www.indeed.com/rc/clk?jk=93cd40feda309f53&fccid=339f622fd0f478a1&vjs=3
184	Research/Laboratory Assistant	San Diego, CA	UC San Diego	With over $125 million in research grants and contracts, our award-winning faculty conduct innovative Public Health research at the intersection of behavioral…	https://www.indeed.com/rc/clk?jk=53a1f80ab96bbfbc&fccid=10b5a4abcc6bf067&vjs=3
185	Market Research Assistant	Richmond, VA 23219 (Biotech and MCV District area)	Celerion	Occasional evening and weekend shifts are a possibility.	https://www.indeed.com/rc/clk?jk=1fb86a570d1a34d9&fccid=b082f79c25a030cd&vjs=3
186	Assistant Research Technician – Cardiology	New York, NY 10003 (Gramercy area)	NYU Langone	Maintains the confidentiality of all research information.	https://www.indeed.com/rc/clk?jk=a60ed042110e4062&fccid=848e72c84ce4a7a7&vjs=3
187	Social/Clinical Research Assistant	Raleigh, NC 27695 (Hillsborough area)	North Carolina State University	Provides documentation and research reports to clients.	https://www.indeed.com/rc/clk?jk=b0b67dc2096bc995&fccid=662e23242ca7a7c3&vjs=3
188	Assistant/Associate Biochemist	Clayton, NC 27528	Grifols Shared Services North America, Inc	Performs biological testing of moderate to advanced complexity within the Quality Operations Laboratories in a safe, accurate, and efficient manner following…	https://www.indeed.com/rc/clk?jk=c63d9536b3952b97&fccid=48963978859d9706&vjs=3
189	Evolutionary Ecology Research Assistant	Cortland, NY	State University of New York, Cortland	Strong background in the Biological Sciences.	https://www.indeed.com/rc/clk?jk=68c3204e03bf7b4d&fccid=dfe32e74739a3143&vjs=3
190	Lab Assistant	Savannah, GA 31401 (Thomas Square area)	St. Joseph's / Candler	Collects blood and other specimens from neonates, infants, pediatric adolescent, adult and geriatric patients.	https://www.indeed.com/rc/clk?jk=0232d6e93370a533&fccid=8cde2881d3fb3943&vjs=3
191	Research Assistant for Health & Human Performance	Rio Grande Valley, TX	The University of Texas Rio Grande Valley	Research Assistant will assist Research Faculty with the research needs of the project.	https://www.indeed.com/rc/clk?jk=242a4850e0792350&fccid=654f5da29df7ad7b&vjs=3
192	Viticulture Research Assistant	Corvallis, OR 97331	Oregon State University	Perform routine to complex technical tasks in support of viticulture research (wine grape vineyard research).	https://www.indeed.com/rc/clk?jk=b9aba29e39dee677&fccid=f08351abc513c21b&vjs=3
193	Research Assistant I - Gannon Lab	Nashville, TN	Vanderbilt University Medical Center	Provide, under direct supervision, support for specified research projects; collect, assess, and communicate data/results.	https://www.indeed.com/rc/clk?jk=cf365d8f78739c0b&fccid=9a79b8527fbd5a84&vjs=3
194	Research Assistant	Palo Alto, CA	Centrillion	Enjoy a challenging research and development environment working with multidisciplinary teams.	https://www.indeed.com/rc/clk?jk=af998014a060c375&fccid=2aa42c06718c85f9&vjs=3
195	SRNL Postdoctoral Research Associate	Aiken, SC 29801	Savannah River Nuclear Solutions, LLC	Ability to demonstrate their capacity for advanced research approaches to solve complex problems.	https://www.indeed.com/rc/clk?jk=4dff08a3ba333144&fccid=8ab49380963852ab&vjs=3
196	Medical Laboratory Assistant	Los Angeles, CA	Cedars-Sinai	Cytogenetics Laboratory, Routine operational and support functions.	https://www.indeed.com/rc/clk?jk=0dfe8eeb952b2cab&fccid=22d99361dca0507f&vjs=3
197	Research Assistant	York, SC	Bluestar Silicones	We are currently looking for a Research Assistant in York, SC.	https://www.indeed.com/rc/clk?jk=5d89464270a0bb45&fccid=68db97e813d8e1e7&vjs=3
198	Research Associate	Charlotte, NC 28262 (University City South area)	UNC Charlotte	We integrate and analyze a variety of big data sets from biomedical research & applications.	https://www.indeed.com/rc/clk?jk=b852fbf6bd4d58b8&fccid=75335e89972ea010&vjs=3
199	Part-Time Undergraduate Research Assistant	Pomona, CA 91768	Cal Poly Pomona Foundation	The research assistant will work with the team in developing the technology for 3D printing of CubeSats and Oscillating Heat Pipes.	https://www.indeed.com/rc/clk?jk=376df3fe62d6f853&fccid=1a24cf6d3392772a&vjs=3
200	Chemistry Research Assistant	Corvallis, OR 97331	Oregon State University	College student (sophomore/junior level) summer research intern to assist with research efforts in the field of microfluidics and chemical analysis.	https://www.indeed.com/rc/clk?jk=c16bcc6a326a5ab8&fccid=f08351abc513c21b&vjs=3
201	Research Assistant	Charlottesville, VA 22903 (Rose Hill area)	Luna Innovations Incorporated	Acquires necessary equipment and supplies for ongoing research.	https://www.indeed.com/rc/clk?jk=a6415981f0e226aa&fccid=8c649cf3d35e2d0b&vjs=3
202	Assistant Scientist, Research	Santa Clara, CA 95054	Abgenom	The Assistant Scientist at Abgenom will perform production-scale discovery research experimentation working in a Laboratory Information Management System (LIMS)…	https://www.indeed.com/rc/clk?jk=e2ff8d61b9fae695&fccid=1eba59800afcc263&vjs=3
203	RESEARCH ASSISTANT II	Maywood, CA	Loyola University Chicago	Bachelor of Science degree and research experience, Master’s degree preferred.	https://www.indeed.com/rc/clk?jk=96093372f79f7f43&fccid=9ace139cf6afd430&vjs=3
204	Research Assistant-Pharmacology	Memphis, TN 38116 (White Haven-Coro Lake area)	University of Tennessee	Good motivation in learning new research knowledge and skills.	https://www.indeed.com/rc/clk?jk=e4a600d337e73fa5&fccid=a2b8a561fdc0c8d9&vjs=3
205	Research Assistant Coordinator - Allergy, Immunology, Rheuma...	Great Neck, NY 11021	Northwell Health	In research projects, assists in the collection and processing of data.	https://www.indeed.com/rc/clk?jk=abd6130b394ae253&fccid=6f31e2074a3d8a7b&vjs=3
206	Clinical Research Assistant	Los Angeles, CA	Fulgent Pharma	Support preclinical research if needed.	https://www.indeed.com/rc/clk?jk=cf8132fc78d87410&fccid=dc66f3885b539165&vjs=3
207	Seasonal Part-Time Research Assistant	Chicago, IL 60614 (Lincoln Park area)	DePaul University	The Culture and Evidence-Based Practice lab is seeking a part-time research assistant for project AIM, which is a study focusing on the dissemination of a…	https://www.indeed.com/rc/clk?jk=6bdd3b299e15097e&fccid=cd33a0166a1e6aa0&vjs=3
208	MIME Research Assistant	Corvallis, OR 97331	Oregon State University	Desire to be involved in hands-on research.	https://www.indeed.com/rc/clk?jk=18d8f5533818b3ab&fccid=f08351abc513c21b&vjs=3
209	Laboratory Assistant - Part Time - Tissue Culture	St. Louis, MO 63132	Donald Danforth Plant Science Center	The successful candidate for this position will be responsible for general lab duties such as basic lab upkeep, media preparation, tissue culture and greenhouse…	https://www.indeed.com/rc/clk?jk=d5e157e88d8a6c02&fccid=da5eed800e0929d1&vjs=3
210	Research Assistant - School of Law	San Francisco, CA 94105 (South Beach area)	Golden Gate University	Serve as research assistant for School of Law faculty.	https://www.indeed.com/rc/clk?jk=1b04740235c5146e&fccid=15c08a12b0eddd08&vjs=3
211	Research Associate	Tampa, FL 33602 (Downtown area)	Tucker/Hall	Research Associates are responsible for quite a bit of research.	https://www.indeed.com/rc/clk?jk=470e10acb773756a&fccid=9624a0087aaaa66d&vjs=3
212	Clinical Research Assistant	Lincoln, RI 02865	University of Massachusetts Medical School	Summarize research findings and prepare presentations.	https://www.indeed.com/rc/clk?jk=d29778c669f30e05&fccid=4194c6669dc44266&vjs=3
213	Research Support Assistant	Pasadena, CA 91125 (South area)	California Institute of Technology	The Research Support Assistant is responsible for the cleaning of animal cages, cage components, and ancillary equipment.	https://www.indeed.com/rc/clk?jk=c4fd7363eaaddc3d&fccid=3f13ab783077a3af&vjs=3
214	RESEARCH ASSISTANT	Washington, DC 20036 (Dupont Circle area)	ToxServices	Summarizing research studies; preparing research memos; compiling scientific reports; conducting Internet and library searches; reviewing and editing scientific…	https://www.indeed.com/rc/clk?jk=295180df43d7486b&fccid=71fb66cb26c9be04&vjs=3
215	CIRES/ NOAA NCEI Marine Geophysics Data Manager Professional...	Boulder, CO 80305 (Central Boulder area)	University of Colorado Boulder	Demonstrated competence, either individually or as a member of a team, in the pursuit and support of scientific research.	https://www.indeed.com/rc/clk?jk=386fe2e013fc7ad9&fccid=d3add89427ae6567&vjs=3
216	Pediatrics Hematology/Oncology Research Assistant	Iowa City, IA 52242	The University of Iowa	It is expected that as the research assistant gains experience with laboratory techniques and procedures, they will take on increased autonomy and oversight in…	https://www.indeed.com/rc/clk?jk=bab3cb81f2433362&fccid=fa9286d53c8ca6e7&vjs=3
217	Research Associate	San Francisco, CA 94143 (Haight-Ashbury area)	University of California San Francisco	He/she may serve as research team lead.	https://www.indeed.com/rc/clk?jk=501471659a666ef0&fccid=2a341562d64c7cdb&vjs=3
218	Research Associate (LA)	Santa Monica, CA 90401 (Wilshire/Montana area)	Murphy Research	With strong support from senior leadership, you’ll receive on-the-job training in project management, data processing, questionnaire design, report writing, and…	https://www.indeed.com/rc/clk?jk=afad5e7d21e2259f&fccid=26804106c6f321cc&vjs=3
219	RESEARCH ASSISTANT II - Immunobiology - Grimes Lab	Cincinnati, OH 45229 (North Avondale area)	Cincinnati Children's Hospital	Apply standard protocols to specific experiments, research and improve current methods, and evaluate innovative techniques.	https://www.indeed.com/rc/clk?jk=b8bb2b37868417fc&fccid=1cf1d6e36473c700&vjs=3
220	Marine Molecular Biology Lab Assistant	San Diego, CA	UC San Diego	This position involves molecular evaluation of fish and invertebrate organisms, including identification of marine fish eggs and invasive freshwater mussels…	https://www.indeed.com/rc/clk?jk=b45f981063502b8e&fccid=10b5a4abcc6bf067&vjs=3
221	Stability Operations Assistant I (Contract)	Kenosha, WI	Pfizer	Position will be expected to work in both an office setting as well as within various stability chamber conditions for moderate periods of time.	https://www.indeed.com/rc/clk?jk=ce313ece9199f29d&fccid=5e118f74384e090a&vjs=3
222	Research Assistant (Bloom Lab)	Chapel Hill, NC	UNC-Chapel Hill	And to communicate expectations to the undergraduate assistants that help accomplish most of these routine jobs.	https://www.indeed.com/rc/clk?jk=069ac167cbbb03ca&fccid=9a199e21f9f95369&vjs=3
223	Research Assistant	Cambridge, MA 02138 (West Cambridge area)	National Bureau of Economics	Economics professor Alp Simsek (MIT) is looking to hire a full-time research assistant for Spring 2020 and the academic year 2020-2021.	https://www.indeed.com/rc/clk?jk=d5bb4b1584fe979e&fccid=295705dfc7d53e69&vjs=3
224	Research Assistant (TIDE)	Boston, MA	Harvard Pilgrim Health Care	Assist with timeline coordination and deliverable preparation, including protocols, research plans, and final reports.	https://www.indeed.com/rc/clk?jk=38bf6b1e59a843f1&fccid=fa691bd7d26474a1&vjs=3
225	Research Associate	San Diego, CA 92121 (Sorrento Valley area)	Sorrento Therapeutics	We are currently seeking a Research Associate for the Nanoformulations group.	https://www.indeed.com/rc/clk?jk=03553d81ecc46153&fccid=529f3670f859bee2&vjs=3
226	Field Research Associate	Wentworth, SD	The Climate Corporation	Identify opportunities to enhance research site operational efficiency and best management practices.	https://www.indeed.com/rc/clk?jk=10a2fa59f2d1776d&fccid=5527fa86119a4ea6&vjs=3
227	Research Assistant - Center for Rehabilitation Outcomes Rese...	Chicago, IL 60611 (Streeterville area)	Shirley Ryan Ability Lab	Oversees the work of research assistants.	https://www.indeed.com/rc/clk?jk=ee043d2a445ae113&fccid=840d2f2811eb12c4&vjs=3
228	Research Assistant	Rochester, NY 14623	Rochester Institute of Technology	??Experience working on a health-related research project.	https://www.indeed.com/rc/clk?jk=6f7206aa7a74a9c1&fccid=dba2ecc1a2f5483e&vjs=3
229	Assistant Director, Research Administration, Compliance	Boston, MA	Harvard University	Division of Research and Faculty Development.	https://www.indeed.com/rc/clk?jk=c3d11d50743a6356&fccid=5507a64404691526&vjs=3
230	Research Assistant – Decision Making Research	Houston, TX 77030 (Medical Center Area area)	Baylor College of Medicine	The Center for Medical Ethics and Health Policy at Baylor College of Medicine is seeking a full-time Research Assistant.	https://www.indeed.com/rc/clk?jk=9c4bca33e4f20345&fccid=5f589639ccd58869&vjs=3
