index	city	company_name	duration	frequency	job	job_link	salary
289	北京	龙图游戏	4个月	5天/周	运营专员-2021届校招-北京	https://www.shixiseng.com/intern/inn_1pwgxpzm4bdi?pcm=pc_SearchList	180-250/天
290	漳州	我武生物	12个月	5天/周	医药销售代表\医学信息沟通专员（福建—漳浦）	https://www.shixiseng.com/intern/inn_fm9wlusyzfbf?pcm=pc_SearchList	120-150/天
291	北京	NIO蔚来	5个月	5天/周	图像算法实习生（开发调试方向）	https://www.shixiseng.com/intern/inn_r9w08tq0ggr7?pcm=pc_SearchList	300-300/天
292	上海	东吴金科	3天/周	3天/周	新媒体实习生（金融）	https://www.shixiseng.com/intern/inn_ccoyb4qzpn6b?pcm=pc_SearchList	140-150/天
293	全国	复英科技	3天/周	1个月	淘宝运营推广实习生	https://www.shixiseng.com/intern/inn_bezvwv36kvvy?pcm=pc_SearchList	0-50/天
294	上海	瀚森化工	3天/周	6个月	前台/接待	https://www.shixiseng.com/intern/inn_sqbszdyhfzdq?pcm=pc_SearchList	150-180/天
295	广州	星辉游戏	2天/周	5个月	职办助理	https://www.shixiseng.com/intern/inn_wovoqct9cfna?pcm=pc_SearchList	100-120/天
296	辽阳	圣才电子书	6天/周	4个月	线上实习-金融经济类	https://www.shixiseng.com/intern/inn_8ptbc5tvwscs?pcm=pc_SearchList	200-300/天
297	北京	聚力维度	3天/周	3个月	c++研发工程实习生	https://www.shixiseng.com/intern/inn_etkapa3y1ecj?pcm=pc_SearchList	150-250/天
298	深圳	思迪信息	3个月	6天/周	量化FOF研究实习生	https://www.shixiseng.com/intern/inn_vbgsn5g1ufhb?pcm=pc_SearchList	100-200/天
299	北京	聚力维度	2000人以上	15-50人	算法优化工程师（实习）	https://www.shixiseng.com/intern/inn_h14wekpgme7n?pcm=pc_SearchList	150-250/天
300	沈阳	AAA教育	3个月	5天/周	网页设计师	https://www.shixiseng.com/intern/inn_g2tikkk42aan?pcm=pc_SearchList	180-300/天
301	深圳	乐有家	3个月	6天/周	销售实习生 	https://www.shixiseng.com/intern/inn_oitoja3kqnsr?pcm=pc_SearchList	200-250/天
302	广州	GMC	3个月	5天/周	国际买家顾问	https://www.shixiseng.com/intern/inn_atrnltzj9hwd?pcm=pc_SearchList	100-150/天
303	东营	我武生物	12个月	5天/周	医药销售代表/医学信息沟通专员（山东-东营）	https://www.shixiseng.com/intern/inn_ssboxwqwfvm1?pcm=pc_SearchList	120-200/天
304	临沂	领行贸易	11个月	6天/周	推广实习生	https://www.shixiseng.com/intern/inn_tsslh8itbgwf?pcm=pc_SearchList	200-400/天
305	深圳	智联慧通	3个月	5天/周	项目助理/项目审核	https://www.shixiseng.com/intern/inn_dixvyzytof6v?pcm=pc_SearchList	180-300/天
306	梅州	我武生物	12个月	5天/周	医药销售代表\医学信息沟通专员（广东—梅州）	https://www.shixiseng.com/intern/inn_h6mq1ogqjsks?pcm=pc_SearchList	120-200/天
307	上海	17Career(一起求职)	6个月	6天/周	咨询管培生	https://www.shixiseng.com/intern/inn_kswkyb7mxw7l?pcm=pc_SearchList	300-500/天
308	湖州	我武生物	3个月	5天/周	病理切片分析人员（浙江）	https://www.shixiseng.com/intern/inn_lq5jtibvkqzf?pcm=pc_SearchList	100-200/天
309	北京	熠文集团-曼德沃克工作室	6个月	4天/周	IT Intern	https://www.shixiseng.com/intern/inn_sxxpz4xazjzb?pcm=pc_SearchList	120-200/天
310	广州	麦壳	12个月	6天/周	财务实习生	https://www.shixiseng.com/intern/inn_ergkrevgzitf?pcm=pc_SearchList	100-150/天
311	佛山	我武生物	12个月	5天/周	销售管培生—佛山	https://www.shixiseng.com/intern/inn_lazriygsvoo5?pcm=pc_SearchList	100-200/天
312	东方	我武生物	12个月	5天/周	医药销售代表\医学信息沟通专员（海南-东方）	https://www.shixiseng.com/intern/inn_mhdlwwt6spor?pcm=pc_SearchList	120-200/天
313	全国	圣才电子书	3个月	3天/周	学科编辑-出版类	https://www.shixiseng.com/intern/inn_szhr4hv4rqum?pcm=pc_SearchList	150-200/天
314	北京	和家生活科技	3个月	5天/周	计划运营实习生	https://www.shixiseng.com/intern/inn_m7yzt0s6uwnl?pcm=pc_SearchList	150-200/天
315	武汉	 宙源科技 	6个月	5天/周	Web前端开发实习生	https://www.shixiseng.com/intern/inn_dmdwdhsglahn?pcm=pc_SearchList	100-200/天
316	重庆	Firmoo	3个月	6天/周	管理培训生	https://www.shixiseng.com/intern/inn_kykn2lheri7f?pcm=pc_SearchList	200-400/天
317	西安	展动力	6个月	5天/周	猎头管培生	https://www.shixiseng.com/intern/inn_rh0oewjwnmxx?pcm=pc_SearchList	100-200/天
318	武汉	鹏博士大数据	6个月	4天/周	python研发工程师（后端）	https://www.shixiseng.com/intern/inn_tlzg8kvkohjd?pcm=pc_SearchList	150-300/天
